Date,Open,High,Low,Close,Adj Close,Volume
2017-09-29,10.500000,10.500000,10.000000,10.100000,10.100000,212800
2017-10-02,10.150000,10.200000,10.050000,10.080000,10.080000,36500
2017-10-03,10.091000,10.100000,10.079000,10.100000,10.100000,13300
2017-10-04,10.100000,10.150000,10.093000,10.110000,10.110000,55600
2017-10-05,10.150000,10.150000,10.100000,10.100000,10.100000,212500
2017-10-06,10.120000,10.150000,10.105000,10.132000,10.132000,144600
2017-10-09,10.150000,10.850000,10.120000,10.120000,10.120000,49400
2017-10-10,10.136000,10.136000,10.100000,10.110000,10.110000,128200
2017-10-11,10.110000,10.120000,10.080000,10.090000,10.090000,422600
2017-10-12,10.150000,10.150000,10.100000,10.120000,10.120000,79900
2017-10-13,10.140000,10.150000,10.110000,10.120000,10.120000,199000
2017-10-16,10.200000,10.200000,10.130000,10.130000,10.130000,19200
2017-10-17,10.200000,10.200000,10.130000,10.170000,10.170000,26900
2017-10-18,10.190000,10.200000,10.160000,10.170000,10.170000,146100
2017-10-19,10.200000,10.200000,10.150000,10.150000,10.150000,33100
2017-10-20,10.200000,10.290000,10.170000,10.180000,10.180000,39500
2017-10-23,10.250000,10.250000,10.170000,10.230000,10.230000,59200
2017-10-24,10.250000,10.250000,10.200000,10.240000,10.240000,97400
2017-10-25,10.250000,10.250000,10.200000,10.225000,10.225000,51100
2017-10-26,10.250000,10.250000,10.200000,10.227000,10.227000,28900
2017-10-27,10.300000,10.300000,10.200000,10.250000,10.250000,78600
2017-10-30,10.280000,10.280000,10.210000,10.216000,10.216000,9000
2017-10-31,10.210000,10.250000,10.200000,10.242000,10.242000,63800
2017-11-01,10.210000,10.280000,10.210000,10.269000,10.269000,31600
2017-11-02,10.280000,10.280000,10.230000,10.250000,10.250000,67800
2017-11-03,10.230000,10.250000,10.220000,10.250000,10.250000,105600
2017-11-06,10.250000,10.270000,10.200000,10.249000,10.249000,12400
2017-11-07,10.213000,10.250000,10.210000,10.250000,10.250000,30700
2017-11-08,10.230000,10.250000,10.200000,10.250000,10.250000,21600
2017-11-09,10.250000,10.250000,10.210000,10.210000,10.210000,84500
2017-11-10,10.240000,10.240000,10.200000,10.220000,10.220000,79000
2017-11-13,10.230000,10.230000,10.200000,10.229000,10.229000,27100
2017-11-14,10.240000,10.240000,10.190000,10.200000,10.200000,227200
2017-11-15,10.190000,10.190000,10.089000,10.100000,10.100000,73500
2017-11-16,10.129000,10.150000,10.070000,10.070000,10.070000,20500
2017-11-17,10.085000,10.085000,9.970000,10.035000,10.035000,442200
2017-11-20,10.070000,10.085000,9.970000,9.982000,9.982000,47100
2017-11-21,10.030000,10.050000,9.999000,10.000000,10.000000,35500
2017-11-22,10.000000,10.065000,10.000000,10.000000,10.000000,11400
2017-11-24,10.080000,10.080000,9.990000,10.025000,10.025000,50900
2017-11-27,10.060000,10.100000,9.980000,10.020000,10.020000,139200
2017-11-28,10.060000,10.060000,9.900000,10.000000,10.000000,376900
2017-11-29,9.990000,9.996000,9.900000,9.970000,9.970000,226900
2017-11-30,10.150000,10.150000,9.950000,9.950000,9.950000,50400
2017-12-01,10.000000,10.000000,9.930000,9.940000,9.940000,53100
2017-12-04,9.940000,10.000000,9.890000,9.920000,9.920000,69000
2017-12-05,9.940000,9.980000,9.910000,9.940000,9.940000,68300
2017-12-06,9.950000,9.950000,9.900000,9.920000,9.920000,96800
2017-12-07,9.930000,9.930000,9.870000,9.890000,9.890000,147300
2017-12-08,9.930000,9.930000,9.850000,9.870000,9.870000,90200
2017-12-11,9.880000,9.910000,9.880000,9.900000,9.900000,94000
2017-12-12,9.980000,10.030000,9.910000,9.980000,9.980000,191800
2017-12-13,9.950000,10.000000,9.920000,9.950000,9.950000,80000
2017-12-14,9.980000,10.200000,9.950000,10.030000,10.030000,134200
2017-12-15,10.050000,10.170000,10.010000,10.010000,10.010000,155900
2017-12-18,10.110000,10.110000,10.020000,10.055000,10.055000,61700
2017-12-19,10.130000,10.199000,9.980000,10.010000,10.010000,693300
2017-12-20,10.090000,10.090000,9.980000,10.020000,10.020000,195200
2017-12-21,10.000000,10.040000,10.000000,10.030000,10.030000,123200
2017-12-22,10.050000,10.110000,10.035000,10.040000,10.040000,453400
2017-12-26,10.150000,10.150000,10.050000,10.070000,10.070000,17700
2017-12-27,10.050000,10.090000,10.050000,10.065000,10.065000,20300
2017-12-28,10.070000,10.076000,10.000000,10.050000,10.050000,33100
2017-12-29,10.130000,10.130000,10.040000,10.090000,10.090000,40700
2018-01-02,10.140000,10.140000,10.055000,10.070000,10.070000,36300
2018-01-03,10.070000,10.100000,10.040000,10.060000,10.060000,359300
2018-01-04,10.060000,10.080000,10.040000,10.060000,10.060000,31100
2018-01-05,10.080000,10.100000,10.050000,10.070000,10.070000,415300
2018-01-08,10.060000,10.090000,10.060000,10.070000,10.070000,169400
2018-01-09,10.080000,10.080000,10.030000,10.050000,10.050000,109400
2018-01-10,10.080000,10.090000,10.050000,10.060000,10.060000,1626400
2018-01-11,10.080000,10.080000,10.049000,10.060000,10.060000,122500
2018-01-12,10.060000,10.090000,10.039000,10.050000,10.050000,350800
2018-01-16,10.060000,10.110000,10.050000,10.060000,10.060000,272300
2018-01-17,10.050000,10.090000,10.010000,10.030000,10.030000,95700
2018-01-18,10.040000,10.100000,10.030000,10.050000,10.050000,170400
2018-01-19,10.090000,10.090000,10.040000,10.060000,10.060000,296700
2018-01-22,10.080000,10.080000,10.040000,10.080000,10.080000,135800
2018-01-23,10.080000,10.090000,10.000000,10.080000,10.080000,471400
2018-01-24,10.100000,10.100000,10.040000,10.065000,10.065000,70800
2018-01-25,10.074000,10.079000,10.030000,10.050000,10.050000,214600
2018-01-26,10.030000,10.070000,10.030000,10.060000,10.060000,131200
2018-01-29,10.050000,10.080000,10.040000,10.060000,10.060000,67000
2018-01-30,10.060000,10.070000,10.010000,10.050000,10.050000,135300
2018-01-31,10.090000,10.090000,10.040000,10.060000,10.060000,42800
2018-02-01,10.050000,10.080000,10.050000,10.070000,10.070000,59500
